Episode   345 | score=  1928 | reward=   19.28 | moves= 177 | max_tile=  128
Episode   346 | score=   912 | reward=    9.12 | moves= 113 | max_tile=   64
Episode   347 | score=  1308 | reward=   13.08 | moves= 134 | max_tile=  128
Episode   348 | score=   548 | reward=    5.48 | moves=  76 | max_tile=   64
Episode   349 | score=  1364 | reward=   13.64 | moves= 142 | max_tile=  128
Episode   350 | score=   688 | reward=    6.88 | moves=  91 | max_tile=   64
Episode   351 | score=   532 | reward=    5.32 | moves=  76 | max_tile=   64
Episode   352 | score=  1288 | reward=   12.88 | moves= 129 | max_tile=  128
Episode   353 | score=  1300 | reward=   13.00 | moves= 132 | max_tile=  128
Episode   354 | score=  1336 | reward=   13.36 | moves= 145 | max_tile=  128
Episode   355 | score=  1096 | reward=   10.96 | moves= 131 | max_tile=   64
Episode   356 | score=   768 | reward=    7.68 | moves=  95 | max_tile=   64
Episode   357 | score=   900 | reward=    9.00 | moves= 110 | max_tile=   64
Episode   358 | score=  1312 | reward=   13.12 | moves= 137 | max_tile=  128
Episode   359 | score=   744 | reward=    7.44 | moves=  93 | max_tile=   64
Episode   360 | score=  1172 | reward=   11.72 | moves= 127 | max_tile=  128
Episode   361 | score=   808 | reward=    8.08 | moves= 103 | max_tile=   64
Episode   362 | score=   780 | reward=    7.80 | moves= 102 | max_tile=   64
Episode   363 | score=   864 | reward=    8.64 | moves= 103 | max_tile=   64
Episode   364 | score=  1456 | reward=   14.56 | moves= 153 | max_tile=  128
Episode   365 | score=   924 | reward=    9.24 | moves=  95 | max_tile=  128
Episode   366 | score=  1340 | reward=   13.40 | moves= 137 | max_tile=  128
Episode   367 | score=  1352 | reward=   13.52 | moves= 140 | max_tile=  128
Episode   368 | score=  1104 | reward=   11.04 | moves= 115 | max_tile=  128
