Episode  273 | score=   980 | reward=    9.80 | moves= 100 | max_tile=  128 | eps=0.440
Episode  274 | score=   636 | reward=    6.36 | moves=  88 | max_tile=   64 | eps=0.439
Episode  275 | score=  2448 | reward=   24.48 | moves= 201 | max_tile=  256 | eps=0.438
Episode  276 | score=   636 | reward=    6.36 | moves=  88 | max_tile=   64 | eps=0.436
Episode  277 | score=   952 | reward=    9.52 | moves= 113 | max_tile=   64 | eps=0.435
Episode  278 | score=  1108 | reward=   11.08 | moves= 117 | max_tile=  128 | eps=0.434
Episode  279 | score=   552 | reward=    5.52 | moves=  76 | max_tile=   64 | eps=0.432
Episode  280 | score=  1480 | reward=   14.80 | moves= 148 | max_tile=  128 | eps=0.431
Episode  281 | score=  1400 | reward=   14.00 | moves= 142 | max_tile=  128 | eps=0.430
Episode  282 | score=  1356 | reward=   13.56 | moves= 138 | max_tile=  128 | eps=0.429
Episode  283 | score=  1376 | reward=   13.76 | moves= 145 | max_tile=  128 | eps=0.427
Episode  284 | score=  1248 | reward=   12.48 | moves= 126 | max_tile=  128 | eps=0.426
Episode  285 | score=   688 | reward=    6.88 | moves=  93 | max_tile=   64 | eps=0.425
Episode  286 | score=  1568 | reward=   15.68 | moves= 154 | max_tile=  128 | eps=0.423
Episode  287 | score=  2348 | reward=   23.48 | moves= 193 | max_tile=  256 | eps=0.422
Episode  288 | score=   568 | reward=    5.68 | moves=  77 | max_tile=   64 | eps=0.421
Episode  289 | score=   768 | reward=    7.68 | moves=  95 | max_tile=   64 | eps=0.420
Episode  290 | score=  1304 | reward=   13.04 | moves= 132 | max_tile=  128 | eps=0.418
Episode  291 | score=  1324 | reward=   13.24 | moves= 138 | max_tile=  128 | eps=0.417
Episode  292 | score=  1128 | reward=   11.28 | moves= 120 | max_tile=  128 | eps=0.416
Episode  293 | score=  1272 | reward=   12.72 | moves= 129 | max_tile=  128 | eps=0.415
Episode  294 | score=   972 | reward=    9.72 | moves= 116 | max_tile=   64 | eps=0.413
Episode  295 | score=  1448 | reward=   14.48 | moves= 152 | max_tile=  128 | eps=0.412
Episode  296 | score=   520 | reward=    5.20 | moves=  70 | max_tile=   64 | eps=0.411
Episode  297 | score=  1260 | reward=   12.60 | moves= 127 | max_tile=  128 | eps=0.410
Episode  298 | score=  2284 | reward=   22.84 | moves= 185 | max_tile=  256 | eps=0.408
Episode  299 | score=  1552 | reward=   15.52 | moves= 161 | max_tile=  128 | eps=0.407
Episode  300 | score=  1856 | reward=   18.56 | moves= 178 | max_tile=  128 | eps=0.406
Episode  301 | score=   584 | reward=    5.84 | moves=  81 | max_tile=   64 | eps=0.405
Episode  302 | score=   896 | reward=    8.96 | moves= 110 | max_tile=   64 | eps=0.404
Episode  303 | score=   832 | reward=    8.32 | moves= 105 | max_tile=   64 | eps=0.402
Episode  304 | score=  1328 | reward=   13.28 | moves= 137 | max_tile=  128 | eps=0.401
Episode  305 | score=  1160 | reward=   11.60 | moves= 121 | max_tile=  128 | eps=0.400
Episode  306 | score=  1472 | reward=   14.72 | moves= 154 | max_tile=  128 | eps=0.399
Episode  307 | score=   660 | reward=    6.60 | moves=  90 | max_tile=   64 | eps=0.398
